title,url,time_added,tags,status
What You'll Wish You'd Known,http://practical-scheme.net/trans/hs-j.html,1671148530,,unread
George Orwell: Politics and the English Language,http://www.orwell.ru/library/essays/politics/english/e_polit,1549810532,,unread
Practical Common Lisp,http://www.gigamonkeys.com/book/,1532957633,lisp,unread
visualcomplexity.com | A visual exploration on mapping complex networks,http://www.visualcomplexity.com/vc/,1574879628,,unread
